contest_name,choice,sum_total_votes
ALAMANCE COUNTY BOARD OF COMMISSIONERS (DEM),Harold Dean Bowling,1073
ALAMANCE COUNTY BOARD OF COMMISSIONERS (DEM),Kristen Powers,4159
ALAMANCE COUNTY BOARD OF COMMISSIONERS (DEM),Robert E. (Bob) Byrd,3842
ALAMANCE COUNTY BOARD OF COMMISSIONERS (REP),Amy Scott Galey,5272
ALAMANCE COUNTY BOARD OF COMMISSIONERS (REP),Robert L. Simpson,3756
ALAMANCE COUNTY BOARD OF COMMISSIONERS (REP),Steven J. Carter,4108
ALAMANCE COUNTY CLERK OF SUPERIOR COURT (REP),Brandon Ector,1806
ALAMANCE COUNTY CLERK OF SUPERIOR COURT (REP),David Barber,1633
ALAMANCE COUNTY CLERK OF SUPERIOR COURT (REP),Meredith Tuck Edwards,4346
ALLEGHANY COUNTY BOARD OF COMMISSIONERS (REP),James (Jimmy) Hamm,244
ALLEGHANY COUNTY BOARD OF COMMISSIONERS (REP),John Meachum,147
ALLEGHANY COUNTY BOARD OF COMMISSIONERS (REP),Kathy A. Murphy,276
ALLEGHANY COUNTY BOARD OF COMMISSIONERS (REP),Mark Evans,581
ALLEGHANY COUNTY BOARD OF COMMISSIONERS (REP),Mechelle K. Luffman,367
ALLEGHANY COUNTY BOARD OF COMMISSIONERS (REP),Wade (Bobby) Irwin,477
ALLEGHANY COUNTY BOARD OF EDUCATION (DEM),Amanda Taylor Edwards,436
ALLEGHANY COUNTY BOARD OF EDUCATION (DEM),Audra Bonham,130
ALLEGHANY COUNTY BOARD OF EDUCATION (DEM),David (Casey) Jones,520
ALLEGHANY COUNTY BOARD OF EDUCATION (DEM),Heather Halsey Resendiz,206
ALLEGHANY COUNTY BOARD OF EDUCATION (DEM),Karen Gambill Leys,597
ALLEGHANY COUNTY BOARD OF EDUCATION (REP),Amy Bottomley,631
ALLEGHANY COUNTY BOARD OF EDUCATION (REP),Donna Moxley Rea,421
ALLEGHANY COUNTY BOARD OF EDUCATION (REP),Jason Carpenter,396
ALLEGHANY COUNTY BOARD OF EDUCATION (REP),Jason Williams,393
ALLEGHANY COUNTY BOARD OF EDUCATION (REP),Kathleen Hamm,218
ANSON COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Ashley Turner Drake,58
ANSON COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Fulton J. Crowder,59
ANSON COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Jim Sims,150
ANSON COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (DEM),Lawrence Gatewood,309
ANSON COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (DEM),"Lee Roy Lookabill, Jr.",172
ANSON COUNTY SHERIFF (DEM),Kevin (Catfish) Marshall,267
ANSON COUNTY SHERIFF (DEM),Landric Reid,1961
ASHE COUNTY BOARD OF COMMISSIONERS (REP),Earl R. Cox,892
ASHE COUNTY BOARD OF COMMISSIONERS (REP),Joseph (Joe) Miller,584
ASHE COUNTY BOARD OF COMMISSIONERS (REP),Larry Dix,1387
ASHE COUNTY BOARD OF COMMISSIONERS (REP),Todd A. McNeill,1952
ASHE COUNTY BOARD OF COMMISSIONERS (REP),Wayne Osborne,1211
ASHE COUNTY BOARD OF COMMISSIONERS (REP),William Sands,1476
ASHE COUNTY SHERIFF (REP),B. Phil Howell,1503
ASHE COUNTY SHERIFF (REP),James (Jimmy) Hendrix,830
ASHE COUNTY SHERIFF (REP),Stephen Mochen,567
AVERY COUNTY BOARD OF COMMISSIONERS (REP),Blake Vance,1441
AVERY COUNTY BOARD OF COMMISSIONERS (REP),Clayton Austin Harpold,465
AVERY COUNTY BOARD OF COMMISSIONERS (REP),Dennis Aldridge,1138
AVERY COUNTY BOARD OF COMMISSIONERS (REP),Gerald R. McKinney,875
AVERY COUNTY BOARD OF COMMISSIONERS (REP),Jonathan Sheppard,795
AVERY COUNTY BOARD OF COMMISSIONERS (REP),Rose Trivett Gates,826
AVERY COUNTY BOARD OF COMMISSIONERS (REP),Sam Laws,724
AVERY COUNTY BOARD OF COMMISSIONERS (REP),"Wood (Woodie) Hall Young, Jr.",1312
AVERY COUNTY BOARD OF EDUCATION,Frances Magruder,233
AVERY COUNTY BOARD OF EDUCATION,Jane E. Bumgarner,1306
AVERY COUNTY BOARD OF EDUCATION,Katie Calloway,524
AVERY COUNTY BOARD OF EDUCATION,Patricia (Pat) Edwards,2126
AVERY COUNTY BOARD OF EDUCATION,Steve H Smith,0
AVERY COUNTY BOARD OF EDUCATION,Steve H. Smith,1294
AVERY COUNTY BOARD OF EDUCATION,Write-In (Miscellaneous),34
AVERY COUNTY SHERIFF (REP),Jason Lolies,1305
AVERY COUNTY SHERIFF (REP),Kevin Frye,1687
BEAUFORT COUNTY SHERIFF (DEM),Al J. Whitney,1789
BEAUFORT COUNTY SHERIFF (DEM),"Petre Earl Franks, Sr.",642
BEAUFORT COUNTY SHERIFF (DEM),William Chrismon,1100
BEAUFORT COUNTY SHERIFF (REP),Donald Dixon,868
BEAUFORT COUNTY SHERIFF (REP),Ernie Coleman,2960
BERTIE COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Greg Atkins,2060
BERTIE COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Michael Freeman,1604
BERTIE COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),"Corey Ballance, Sr.",1483
BERTIE COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),Tammy A. Lee,2106
BERTIE COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (DEM),Carl K. Bond,1579
BERTIE COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (DEM),Ernestine (Byrd) Bazemore,1930
BERTIE COUNTY SHERIFF (DEM),Adrian L. Bowen,1087
BERTIE COUNTY SHERIFF (DEM),John Holley,2626
BLADEN COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),Russell Priest,798
BLADEN COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),William D. Whitley,277
BLADEN COUNTY BOARD OF EDUCATION DISTRICT 1 (DEM),Gary Rhoda,850
BLADEN COUNTY BOARD OF EDUCATION DISTRICT 1 (DEM),Sabrina Murchison,579
BLADEN COUNTY SHERIFF (DEM),Gary S. Edwards,622
BLADEN COUNTY SHERIFF (DEM),Hakeem Brown,2368
BLADEN COUNTY SHERIFF (REP),Jim McVicker,2090
BLADEN COUNTY SHERIFF (REP),W. M. (Billy) Ward,374
BOARD OF EDUCATION,Amy Spaugh,452
BOARD OF EDUCATION,Anne White,556
BOARD OF EDUCATION,Carlos Armstrong,189
BOARD OF EDUCATION,Karen Clough,387
BOARD OF EDUCATION,Kisha D. Norman,103
BOARD OF EDUCATION,Matthew (Matt) Peeler,493
BOARD OF EDUCATION,Matthew Matt Peeler,0
BOARD OF EDUCATION,Robin McClees Dunbar,272
BOARD OF EDUCATION,Write-In (Miscellaneous),18
BRUNSWICK COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (REP),Randy Thompson,4215
BRUNSWICK COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (REP),Tom Adams,1202
BRUNSWICK COUNTY BOARD OF EDUCATION DISTRICT 5 (REP),Gerald (Jerry) Benton,2296
BRUNSWICK COUNTY BOARD OF EDUCATION DISTRICT 5 (REP),John W. Thompson,1690
BRUNSWICK COUNTY BOARD OF EDUCATION DISTRICT 5 (REP),Robert B. Cruse,1386
BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Amanda Edwards,3056
BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Dereck Lindsey,739
BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Nancy Nehls Nelson,2398
BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Patrick Fitzsimmons,1461
BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),Catori Swann,1111
BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),Donna Ensley,3017
BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),Taylon Breeden,788
BUNCOMBE COUNTY SHERIFF (DEM),Chris Winslow,1305
BUNCOMBE COUNTY SHERIFF (DEM),Quentin Miller,13168
BUNCOMBE COUNTY SHERIFF (DEM),R. Daryl Fisher,3335
BUNCOMBE COUNTY SHERIFF (DEM),Randy Smart,5828
BUNCOMBE COUNTY SHERIFF (DEM),Rondell Lance,780
BURKE COUNTY BOARD OF COMMISSIONERS (REP),Gary Kling,1169
BURKE COUNTY BOARD OF COMMISSIONERS (REP),Maynard Taylor,1995
BURKE COUNTY BOARD OF COMMISSIONERS (REP),Virginia (Jennie) Cook,1621
BURKE COUNTY BOARD OF COMMISSIONERS (REP),"Wayne Abele, Sr.",2062
Bald Head Island Beach Improvement Bonds,No,15
Bald Head Island Beach Improvement Bonds,Yes,86
CABARRUS COUNTY BOARD OF COMMISSIONERS (REP),Blake Kiger,6158
CABARRUS COUNTY BOARD OF COMMISSIONERS (REP),Chuck Stanec,3433
CABARRUS COUNTY BOARD OF COMMISSIONERS (REP),Diane Honeycutt,6620
CABARRUS COUNTY BOARD OF COMMISSIONERS (REP),Lynn Shue,6697
CABARRUS COUNTY SHERIFF (REP),Adam E. Peck,1384
CABARRUS COUNTY SHERIFF (REP),Dennis McClure,222
CABARRUS COUNTY SHERIFF (REP),"John A. Sweat, Jr.",718
CABARRUS COUNTY SHERIFF (REP),Rick Barrett,906
CABARRUS COUNTY SHERIFF (REP),Van Shaw,6083
