Year,NCPOP
1900,1897
1901,1926
1902,1956
1903,1986
1904,2017
1905,2051
1906,2077
1907,2105
1908,2142
1909,2174
1910,2221
1911,2276
1912,2313
1913,2362
1914,2421
1915,2473
1916,2513
1917,2546
1918,2522
1919,2535
1920,2588
1921,2651
1922,2700
1923,2761
1924,2830
1925,2895
1926,2959
1927,3027
1928,3082
1929,3133
1930,3167
1931,3184
1932,3227
1933,3268
1934,3304
1935,3323
1936,3346
1937,3385
1938,3440
1939,3514
1940,3574
1941,3589
1942,3569
1943,3654
1944,3560
1945,3533
1946,3706
1947,3769
1948,3837
1949,3911
1950,4068
1951,4120
1952,4109
1953,4120
1954,4131
1955,4242
1956,4309
1957,4368
1958,4376
1959,4458
1960,4573
1961,4663
1962,4707
1963,4742
1964,4802
1965,4863
1966,4896
1967,4952
1968,5004
1969,5031
1970,5084.411
1971,5203.531
1972,5301.15
1973,5389.852
1974,5470.911
1975,5547.188
1976,5607.964
1977,5685.607
1978,5759.492
1979,5823.491
1980,5898.98
1981,5956.653
1982,6019.101
1983,6077.056
1984,6164.006
1985,6253.954
1986,6321.578
1987,6403.7
1988,6480.594
1989,6565.459
1990,6656.987
1991,6748.135
1992,6831.85
1993,6947.412
1994,7060.959
1995,7185.403
1996,7307.658
1997,7428.672
1998,7545.828
1999,7650.789
2000,8081.614
2001,8210.122
2002,8326.201
2003,8422.501
2004,8553.152
2005,8705.407
2006,8917.27
2007,9118.037
2008,9309.449
2009,9449.566
2010,9574.586
2011,9658.913
2012,9751.81
2013,9846.717
2014,9937.295
2015,10037.218
2016,10161.802
2017,10275.758
2018,10391.358
2019,10501.384
2020,10449.652
2021,10564.32
2022,10710.793
2023,10881.189
2024,11046.024
